2013-03-01	GLOBAL	0.1079004469873977
2013-03-02	GLOBAL	0.11402329950559734
2013-03-03	GLOBAL	0.11703283269302282
2013-03-04	GLOBAL	0.10604806729290192
2013-03-05	GLOBAL	0.10657974734297207
2013-03-06	GLOBAL	0.10696710758954588
2013-03-07	GLOBAL	0.10694663560235054
2013-03-08	GLOBAL	0.10911323810490914
2013-03-09	GLOBAL	0.11384033828360038
2013-03-10	GLOBAL	0.11609144549247113
2013-03-11	GLOBAL	0.10580378309115465
2013-03-12	GLOBAL	0.10646343961716374
2013-03-13	GLOBAL	0.10656317971708451
2013-03-14	GLOBAL	0.10650610671457657
2013-03-15	GLOBAL	0.10720262173827005
2013-03-16	GLOBAL	0.11334422413598469
2013-03-17	GLOBAL	0.11683275034574214
2013-03-18	GLOBAL	0.10616614136951562
2013-03-19	GLOBAL	0.10642024822810055
2013-03-20	GLOBAL	0.10682614868203437
2013-03-21	GLOBAL	0.10655371689320298
2013-03-22	GLOBAL	0.10724008533967881
2013-03-23	GLOBAL	0.11398022715074925
2013-03-24	GLOBAL	0.11691618978406243
2013-03-25	GLOBAL	0.10680228135388528
2013-03-26	GLOBAL	0.10696063230709446
2013-03-27	GLOBAL	0.10813389436465443
2013-03-28	GLOBAL	0.10854742619382889
2013-03-29	GLOBAL	0.11194767612291397
2013-03-30	GLOBAL	0.11346702765530417
2013-03-31	GLOBAL	0.11459484163085693
2013-04-01	GLOBAL	0.10757673551322909
